4636,17804,577,1582,-151,17442,-2423,3680,-2236
4378,18662,480,2120,-243,17454,-2521,3678,-2106
4006,19314,376,2874,-73,17501,-2632,3717,-1953
3659,19738,177,3628,-173,17492,-2732,3724,-1804
3446,19959,19,4312,-303,17403,-2831,3751,-1656
3258,20034,-82,4777,-424,17130,-2924,3772,-1513
3053,19873,-84,5107,-729,17010,-3013,3746,-1351
2623,19813,-17,5252,-874,16767,-3097,3796,-1202
2107,19531,113,5284,-959,16030,-3160,3798,-1077
1575,19131,259,5344,-1334,15565,-3247,3808,-910
1099,18701,505,5590,-1523,15390,-3306,3784,-762
926,18190,854,6302,-1581,15728,-3382,3775,-619
1126,17762,1020,6887,-1496,15945,-3429,3778,-619
1098,17501,1170,7270,-1228,15821,-3429,3778,-487
1434,16968,1226,7790,-922,15422,-3474,3760,-356
1691,16312,1041,8526,-185,14898,-3533,3776,-214
1557,15420,699,9078,161,14484,-3571,3773,-78
1117,14403,337,9490,-30,14049,-3615,3754,46
715,13492,116,9568,-559,13950,-3644,3754,170
567,12698,168,9279,-1296,13970,-3654,3760,257
634,12160,558,9103,-2093,13897,-3682,3761,367
725,11372,1184,9276,-2292,13971,-3715,3753,454
725,10518,1732,9605,-1761,13863,-3731,3745,532
508,9551,2050,10170,-989,13806,-3747,3710,612
22,8498,2045,10585,-285,13670,-3759,3684,689
-368,7494,1818,10989,41,13646,-3791,3696,739
-381,6542,1476,11195,144,13790,-3806,3692,804
97,5787,1005,11443,291,13886,-3807,3650,822
820,5016,512,12140,111,14127,-3836,3666,882
1430,4209,274,12571,-540,14181,-3819,3666,896
1813,3644,134,11633,-287,13964,-3833,3652,942
1856,2766,-77,11259,-752,13895,-3838,3660,956
1668,1933,-18,11193,-1429,13781,-3830,3664,993
1143,1258,271,11363,-1719,13877,-3840,3664,986
528,960,652,11243,-1822,13815,-3822,3642,998
210,934,1068,11156,-1806,13756,-3842,3664,997
367,1241,1351,11326,-1512,13757,-3857,3646,998
563,1441,1361,11865,-823,13698,-3856,3639,1017
709,1470,983,11988,-286,13648,-3850,3616,1036
874,1286,726,11621,-646,13545,-3854,3619,1033
1058,1211,535,11359,-949,13785,-3856,3620,1055
1108,1320,459,11635,-854,13715,-3876,3611,1038
966,1365,372,12150,-1134,13601,-3870,3604,1062
688,1253,526,11798,-1650,13503,-3868,3611,1062
536,1004,720,11514,-1507,13311,-3868,3605,1054
519,886,756,11505,-1173,13339,-3871,3580,1077
649,792,599,11749,-763,12937,-3859,3585,1064
576,789,300,12117,-595,13056,-3877,3585,1090
2,1024,109,12560,-603,13319,-3873,3585,1090
-1004,1398,-6,12887,-717,13436,-3873,3579,1078
-1968,1598,-150,12755,-722,13408,-3865,3563,1099
-2443,2042,-325,12280,-605,13388,-3864,3586,1093
-2410,2106,-580,11349,-682,13473,-3885,3597,1082
-1446,1478,-897,10702,-929,13120,-3868,3587,1079
-116,-22,-1067,10171,-1166,12859,-3853,3595,1083
750,-1585,-1129,10592,-1375,13290,-3849,3599,1068
137,-3129,-842,10993,-1392,13766,-3830,3628,1058
-1077,-4310,-513,10812,-1261,13309,-3832,3622,1035
-1489,-4634,-371,10644,-1117,13297,-3831,3628,1002
-1558,-4670,-360,10428,-877,13143,-3829,3642,927
-1414,-4834,-451,10249,-506,13474,-3798,3637,893
-1153,-5248,-718,10011,-338,13556,-3804,3649,801
-565,-5574,-1024,10077,-596,13863,-3802,3670,764
-39,-5812,-1179,10298,-824,14051,-3766,3681,701
29,-6108,-1228,10521,-1261,14056,-3757,3676,658
-176,-6355,-1021,10386,-1752,14078,-3744,3697,582
-419,-6134,-662,9951,-1742,14275,-3744,3703,533
-443,-5881,-481,9678,-1358,14202,-3725,3693,471
-197,-5726,-406,9247,-1346,14421,-3714,3703,422
127,-5929,-302,8630,-1192,14625,-3704,3686,345
432,-6059,-327,8701,-735,14620,-3679,3706,305
643,-6084,-411,9126,-719,14934,-3662,3716,231
449,-6093,-433,9170,-539,14976,-3665,3725,189
-233,-6046,-502,9554,-406,14835,-3656,3727,125
